country_name,year,beginning_stockpile,coffee_type,production_month
Nepal,2013/14,0.0,(A),October
Nicaragua,2013/14,76.622,(A),October
Nigeria,2013/14,0.0,(R),October
Panama,2013/14,10.0,(A),October
Sierra Leone,2013/14,2.0,(R),October
Sri Lanka,2013/14,0.0,(R),October
Thailand,2013/14,5.0,(R/A),October
Togo,2013/14,9.567,(R),October
Trinidad & Tobago,2013/14,0.0,(R),October
Uganda,2013/14,717.737,(R/A),October
Venezuela,2013/14,0.0,(A),October
Vietnam,2013/14,3200.0,(R/A),October
Yemen,2013/14,0.0,(A),October
Angola,2014/15,5.0,(R/A),April
Bolivia,2014/15,0.0,(A),April
Brazil,2014/15,17720.0,(A/R),April
Burundi,2014/15,7.0,(A),April
Ecuador,2014/15,3.0,(A/R),April
Indonesia,2014/15,600.0,(R/A),April
Madagascar,2014/15,10.0,(R),April
Malawi,2014/15,0.0,(A),April
Papua New Guinea,2014/15,5.0,(A/R),April
Paraguay,2014/15,0.0,(A),April
Peru,2014/15,60.0,(A),April
Rwanda,2014/15,10.0,(A),April
Timor-Leste,2014/15,0.0,(A),April
Zimbabwe,2014/15,0.0,(A),April
"Congo, Rep. of",2014/15,0.0,(R),July
Cuba,2014/15,0.0,(A),July
Dominican Republic,2014/15,45.0,(A),July
Haiti,2014/15,0.0,(A),July
Philippines,2014/15,0.0,(R/A),July
Tanzania,2014/15,38.95,(A/R),July
Zambia,2014/15,0.0,(A),July
Benin,2014/15,0.0,(R),October
Cameroon,2014/15,20.0,(R/A),October
Central African Republic,2014/15,0.6,(R),October
Colombia,2014/15,214.051,(A),October
"Congo, Dem. Rep. of",2014/15,3.0,(R/A),October
Costa Rica,2014/15,125.173,(A),October
Côte d'Ivoire,2014/15,1153.453,(R),October
El Salvador,2014/15,18.5,(A),October
Equatorial Guinea,2014/15,0.0,(R),October
Ethiopia,2014/15,500.0,(A),October
Gabon,2014/15,0.017,(R),October
Ghana,2014/15,2.0,(R),October
Guatemala,2014/15,10.0,(A/R),October
Guinea,2014/15,10.0,(R),October
Guyana,2014/15,0.0,(R),October
Honduras,2014/15,293.075,(A),October
India,2014/15,1100.0,(R/A),October
Jamaica,2014/15,0.0,(A),October
Kenya,2014/15,25.0,(A),October
"Lao, People's Dem. Rep. of",2014/15,0.0,(R),October
Liberia,2014/15,0.0,(R),October
Mexico,2014/15,800.0,(A),October
Nepal,2014/15,0.0,(A),October
Nicaragua,2014/15,150.312,(A),October
Nigeria,2014/15,0.0,(R),October
Panama,2014/15,8.0,(A),October
Sierra Leone,2014/15,2.0,(R),October
Sri Lanka,2014/15,0.0,(R),October
Thailand,2014/15,16.667,(R/A),October
Togo,2014/15,46.683,(R),October
Trinidad & Tobago,2014/15,0.0,(R),October
Uganda,2014/15,629.975,(R/A),October
Venezuela,2014/15,0.0,(A),October
Vietnam,2014/15,3500.0,(R/A),October
Yemen,2014/15,0.0,(A),October
Angola,2015/16,5.0,(R/A),April
Bolivia,2015/16,0.0,(A),April
Brazil,2015/16,12810.0,(A/R),April
Burundi,2015/16,7.0,(A),April
Ecuador,2015/16,3.0,(A/R),April
Indonesia,2015/16,450.0,(R/A),April
Madagascar,2015/16,10.0,(R),April
Malawi,2015/16,0.0,(A),April
Papua New Guinea,2015/16,5.0,(A/R),April
Paraguay,2015/16,0.0,(A),April
Peru,2015/16,50.0,(A),April
Rwanda,2015/16,10.0,(A),April
Timor-Leste,2015/16,0.0,(A),April
Zimbabwe,2015/16,0.0,(A),April
"Congo, Rep. of",2015/16,0.0,(R),July
Cuba,2015/16,0.0,(A),July
Dominican Republic,2015/16,35.0,(A),July
Haiti,2015/16,0.0,(A),July
Philippines,2015/16,0.0,(R/A),July
Tanzania,2015/16,37.183,(A/R),July
Zambia,2015/16,0.0,(A),July
Benin,2015/16,0.0,(R),October
Cameroon,2015/16,30.0,(R/A),October
Central African Republic,2015/16,0.0,(R),October
Colombia,2015/16,299.465,(A),October
"Congo, Dem. Rep. of",2015/16,3.0,(R/A),October
Costa Rica,2015/16,74.88,(A),October
Côte d'Ivoire,2015/16,1236.776,(R),October
El Salvador,2015/16,10.7,(A),October
Equatorial Guinea,2015/16,0.0,(R),October
Ethiopia,2015/16,578.0,(A),October
Gabon,2015/16,0.017,(R),October
Ghana,2015/16,2.0,(R),October
Guatemala,2015/16,15.0,(A/R),October
Guinea,2015/16,10.0,(R),October
Guyana,2015/16,0.0,(R),October
Honduras,2015/16,186.219,(A),October
India,2015/16,1350.0,(R/A),October
Jamaica,2015/16,0.0,(A),October
Kenya,2015/16,20.0,(A),October
"Lao, People's Dem. Rep. of",2015/16,0.0,(R),October
Liberia,2015/16,0.0,(R),October
Mexico,2015/16,800.0,(A),October
Nepal,2015/16,0.0,(A),October
Nicaragua,2015/16,63.912,(A),October
Nigeria,2015/16,0.0,(R),October
Panama,2015/16,4.0,(A),October
Sierra Leone,2015/16,2.0,(R),October
Sri Lanka,2015/16,0.0,(R),October
Thailand,2015/16,8.0,(R/A),October
Togo,2015/16,6.35,(R),October
Trinidad & Tobago,2015/16,0.0,(R),October
Uganda,2015/16,690.0,(R/A),October
Venezuela,2015/16,0.0,(A),October
Vietnam,2015/16,5000.0,(R/A),October
Yemen,2015/16,0.0,(A),October
Angola,2016/17,5.0,(R/A),April
Bolivia,2016/17,0.0,(A),April
Brazil,2016/17,7800.0,(A/R),April
Burundi,2016/17,5.0,(A),April
Ecuador,2016/17,3.0,(A/R),April
Indonesia,2016/17,500.0,(R/A),April
Madagascar,2016/17,10.0,(R),April
Malawi,2016/17,0.0,(A),April
Papua New Guinea,2016/17,5.0,(A/R),April
Paraguay,2016/17,0.0,(A),April
Peru,2016/17,40.0,(A),April
Rwanda,2016/17,10.0,(A),April
Timor-Leste,2016/17,0.0,(A),April
Zimbabwe,2016/17,0.0,(A),April
"Congo, Rep. of",2016/17,0.0,(R),July
Cuba,2016/17,0.0,(A),July
Dominican Republic,2016/17,27.0,(A),July
Haiti,2016/17,0.0,(A),July
Philippines,2016/17,0.0,(R/A),July
Tanzania,2016/17,46.833,(A/R),July
Zambia,2016/17,0.0,(A),July
Benin,2016/17,0.0,(R),October
Cameroon,2016/17,35.0,(R/A),October
Central African Republic,2016/17,0.0,(R),October
Colombia,2016/17,376.678,(A),October
"Congo, Dem. Rep. of",2016/17,3.0,(R/A),October
Costa Rica,2016/17,71.491,(A),October
Côte d'Ivoire,2016/17,665.462,(R),October
El Salvador,2016/17,10.1,(A),October
Equatorial Guinea,2016/17,0.0,(R),October
Ethiopia,2016/17,500.0,(A),October
Gabon,2016/17,0.258,(R),October
Ghana,2016/17,2.0,(R),October
Guatemala,2016/17,15.0,(A/R),October
Guinea,2016/17,10.0,(R),October
Guyana,2016/17,0.0,(R),October
Honduras,2016/17,466.99,(A),October
India,2016/17,1400.0,(R/A),October
Jamaica,2016/17,0.0,(A),October
Kenya,2016/17,20.0,(A),October
"Lao, People's Dem. Rep. of",2016/17,0.0,(R),October
Liberia,2016/17,0.0,(R),October
Mexico,2016/17,630.0,(A),October
Nepal,2016/17,0.0,(A),October
Nicaragua,2016/17,106.988,(A),October
Nigeria,2016/17,0.0,(R),October
Panama,2016/17,4.0,(A),October
Sierra Leone,2016/17,2.0,(R),October
Sri Lanka,2016/17,0.0,(R),October
Thailand,2016/17,8.0,(R/A),October
Togo,2016/17,13.767,(R),October
Trinidad & Tobago,2016/17,0.0,(R),October
Uganda,2016/17,790.0,(R/A),October
Venezuela,2016/17,0.0,(A),October
Vietnam,2016/17,5000.0,(R/A),October
Yemen,2016/17,0.0,(A),October
Angola,2017/18,5.0,(R/A),April
Bolivia,2017/18,0.0,(A),April
Brazil,2017/18,9872.0,(A/R),April
Burundi,2017/18,5.0,(A),April
Ecuador,2017/18,3.0,(A/R),April
Indonesia,2017/18,500.0,(R/A),April
Madagascar,2017/18,10.0,(R),April
Malawi,2017/18,0.0,(A),April
Papua New Guinea,2017/18,5.0,(A/R),April
Paraguay,2017/18,0.0,(A),April
Peru,2017/18,40.0,(A),April
Rwanda,2017/18,10.0,(A),April
Timor-Leste,2017/18,0.0,(A),April
Zimbabwe,2017/18,0.0,(A),April
"Congo, Rep. of",2017/18,0.0,(R),July
Cuba,2017/18,0.0,(A),July
Dominican Republic,2017/18,25.0,(A),July
Haiti,2017/18,0.0,(A),July
Philippines,2017/18,0.0,(R/A),July
Tanzania,2017/18,25.0,(A/R),July
Zambia,2017/18,0.0,(A),July
Benin,2017/18,0.0,(R),October
Cameroon,2017/18,30.0,(R/A),October
Central African Republic,2017/18,0.0,(R),October
Colombia,2017/18,298.369,(A),October
"Congo, Dem. Rep. of",2017/18,3.0,(R/A),October
Costa Rica,2017/18,107.343,(A),October
Côte d'Ivoire,2017/18,200.0,(R),October
El Salvador,2017/18,22.2,(A),October
Equatorial Guinea,2017/18,0.0,(R),October
Ethiopia,2017/18,575.0,(A),October
Gabon,2017/18,0.258,(R),October
Ghana,2017/18,2.0,(R),October
Guatemala,2017/18,15.0,(A/R),October
Guinea,2017/18,10.0,(R),October
Guyana,2017/18,0.0,(R),October
Honduras,2017/18,263.667,(A),October
India,2017/18,1100.0,(R/A),October
Jamaica,2017/18,0.0,(A),October
Kenya,2017/18,30.0,(A),October
"Lao, People's Dem. Rep. of",2017/18,0.0,(R),October
Liberia,2017/18,0.0,(R),October
Mexico,2017/18,550.0,(A),October
Nepal,2017/18,0.0,(A),October
Nicaragua,2017/18,125.0,(A),October
Nigeria,2017/18,0.0,(R),October
Panama,2017/18,3.0,(A),October
Sierra Leone,2017/18,2.0,(R),October
Sri Lanka,2017/18,0.0,(R),October
Thailand,2017/18,8.0,(R/A),October
Togo,2017/18,5.0,(R),October
Trinidad & Tobago,2017/18,0.0,(R),October
Uganda,2017/18,907.0,(R/A),October
Venezuela,2017/18,0.0,(A),October
Vietnam,2017/18,4600.0,(R/A),October
Yemen,2017/18,0.0,(A),October
Angola,2018/19,5.0,(R/A),April
Bolivia,2018/19,0.0,(A),April
Brazil,2018/19,8392.0,(A/R),April
Burundi,2018/19,10.0,(A),April
Ecuador,2018/19,3.0,(A/R),April
Indonesia,2018/19,500.0,(R/A),April
Madagascar,2018/19,10.0,(R),April
Malawi,2018/19,0.0,(A),April
Papua New Guinea,2018/19,5.0,(A/R),April
Paraguay,2018/19,0.0,(A),April
Peru,2018/19,40.0,(A),April
Rwanda,2018/19,10.0,(A),April
Timor-Leste,2018/19,0.0,(A),April
Zimbabwe,2018/19,0.0,(A),April
"Congo, Rep. of",2018/19,,(R),July
Cuba,2018/19,,(A),July
Dominican Republic,2018/19,,(A),July
Haiti,2018/19,,(A),July
Philippines,2018/19,,(R/A),July
Tanzania,2018/19,,(A/R),July
Zambia,2018/19,,(A),July
Benin,2018/19,,(R),October
Cameroon,2018/19,,(R/A),October
Central African Republic,2018/19,,(R),October
Colombia,2018/19,,(A),October
"Congo, Dem. Rep. of",2018/19,,(R/A),October
Costa Rica,2018/19,,(A),October
Côte d'Ivoire,2018/19,,(R),October
El Salvador,2018/19,,(A),October
Equatorial Guinea,2018/19,,(R),October
Ethiopia,2018/19,,(A),October
Gabon,2018/19,,(R),October
Ghana,2018/19,,(R),October
Guatemala,2018/19,,(A/R),October
Guinea,2018/19,,(R),October
Guyana,2018/19,,(R),October
Honduras,2018/19,,(A),October
India,2018/19,,(R/A),October
Jamaica,2018/19,,(A),October
Kenya,2018/19,,(A),October
"Lao, People's Dem. Rep. of",2018/19,,(R),October
Liberia,2018/19,,(R),October
Mexico,2018/19,,(A),October
Nepal,2018/19,,(A),October
Nicaragua,2018/19,,(A),October
Nigeria,2018/19,,(R),October
Panama,2018/19,,(A),October
Sierra Leone,2018/19,,(R),October
Sri Lanka,2018/19,,(R),October
Thailand,2018/19,,(R/A),October
Togo,2018/19,,(R),October
Trinidad & Tobago,2018/19,,(R),October
Uganda,2018/19,,(R/A),October
Venezuela,2018/19,,(A),October
Vietnam,2018/19,,(R/A),October
Yemen,2018/19,,(A),October
